pub_date,headline,snippet,section,source,news_desk,type_of_material,web_url
2021-01-11T17:47:08Z,Taylor Swift’s ‘Evermore’ Returns to No. 1,Swift’s second surprise pandemic record has spent three of its four weeks out in the top spot of Billboard’s album chart.,Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/01/11/arts/music/taylor-swift-evermore-billboard.html
2021-03-09T17:30:03Z,Taylor Swift and the Wisdom of Youth,"“Folklore,” the album that earned five of Swift’s six Grammy nominations, is stocked with references to the specific, oft-denigrated insight of teenagers.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/03/09/arts/music/taylor-swift-folklore-youth.html
2021-02-11T13:28:15Z,Taylor Swift’s Rerecorded Album Releases Begin With ‘Fearless’ in April,"After her first six albums were sold to investors, Swift said she would record entirely new versions of her old songs that she would own.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/02/11/arts/music/taylor-swift-rerecord-fearless.html
2021-03-07T18:00:05Z,"Taylor Swift, BTS and Megan Thee Stallion Will Perform at the Grammys",The awards show next Sunday night will feature a mix of live and taped appearances shot in downtown Los Angeles.,Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/03/07/arts/music/grammy-performers-taylor-swift-bts.html
2021-11-12T22:44:57Z,5 Songs to Listen to Right Now,"I write about pop music for The New York Times. Here are five new and notable songs, including Kylie Minogue and Jessie Ware’s duet and TNGHT’s return.",Arts,The New York Times,,Interactive Feature,https://www.nytimes.com/interactive/2021/11/12/arts/music/pop-recommendations-kylie-minogue.html
2021-11-03T13:16:16Z,"Popcast Mailbag! Halsey, Nicki, TikTok and, of Course, Taylor","Answering your questions about pop’s big names, the state of the music video and more.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2021/11/03/arts/music/popcast-listener-questions-halsey-taylor.html
2020-12-21T17:21:58Z,Taylor Swift Lands Her Second No. 1 Album of the Year With ‘Evermore’,"The sequel to “Folklore” did not have the commercial impact of its predecessor, due in part to changes in the Billboard rules.",Arts,The New York Times,Culture,News,https://www.nytimes.com/2020/12/21/arts/music/taylor-swift-evermore-billboard-chart.html
2020-12-11T18:35:40Z,"‘Evermore,’ Taylor Swift’s ‘Folklore’ Sequel, Is a Journey Deeper Inward",The singer and songwriter’s July album traded glossy sheen for an acoustic-Minimalistic palette. A second album with the same collaborators moves even further from her pop past.,Arts,The New York Times,Culture,Review,https://www.nytimes.com/2020/12/11/arts/music/taylor-swift-evermore-review.html
2021-01-12T20:02:41Z,"Citing Taylor Swift, Supreme Court Seems Set to Back Nominal Damages Suits",Three justices discussed the singer in a case over whether two students could sue their college for violating their First Amendment rights.,U.S.,The New York Times,Washington,News,https://www.nytimes.com/2021/01/12/us/supreme-court-taylor-swift.html
2021-11-17T21:00:10Z,‘Taylor’s Version’ Is the Version for the Moment,Drive and cry.,At Home,The New York Times,AtHome,News,https://www.nytimes.com/2021/11/17/at-home/newsletter.html
